generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,api_key_disabled,api_key_name,app_name
gen-1788566433-d1whXPs194NjLXLWegBz,2026-09-05 00:00:33.760,0.001133,,-0.003261,,0,66762,309,0,66560,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,tool_calls,tool_calls,2721,918,false,hermes-ppn,Hermes Agent
gen-1788566428-A5mCPdrYJRsqPK3UPPuU,2026-09-05 00:00:28.746,0.002437,,,,0,640,522,520,0,google/gemini-3.6-flash-20260721,Google,standard,false,true,,STOP,stop,4159,1494,false,hermes-ppn,Hermes Agent
gen-1788566421-xzjlPD9qZiQroQtWNV4T,2026-09-05 00:00:21.140,0.00131,,-0.003173,,0,65340,1315,813,64768,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,tool_calls,tool_calls,6259,899,false,hermes-ppn,Hermes Agent
gen-1788566416-r1irwROvSvNx17wwLmms,2026-09-05 00:00:16.580,0.001099,,,,0,4296,200,156,0,openai/gpt-5.6-luna-pro-20260709,Azure,standard,false,true,,completed,stop,4088,3190,false,hermes-ppn,Hermes Agent
gen-1788566403-W5Nch4pClqHoIk2DrZQo,2026-09-05 00:00:03.780,0.001281,,-0.003085,,0,63522,1324,771,62976,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,tool_calls,tool_calls,12426,883,false,hermes-ppn,Hermes Agent
gen-1788566397-y3k9vWqWe3NipDmVTodz,2026-09-04 23:59:57.447,0.001272,,,,0,4705,276,232,0,openai/gpt-5.6-luna-pro-20260709,Azure,standard,false,true,,completed,stop,5189,4432,false,hermes-ppn,Hermes Agent
gen-1788566392-VoshglT0coHaJYKD7xva,2026-09-04 23:59:52.656,0.001178,,-0.003023,,0,62197,880,233,61696,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,tool_calls,tool_calls,4286,517,false,hermes-ppn,Hermes Agent
gen-1788566390-3BuFpMXsPAUqRadMuidg,2026-09-04 23:59:50.905,0.000787,,,,0,530,104,102,0,google/gemini-3.6-flash-20260721,Google,standard,false,true,,STOP,stop,1421,1379,false,hermes-ppn,Hermes Agent
gen-1788566387-686ltRWSUWGRxCC2k3Sb,2026-09-04 23:59:47.475,0.001083,,-0.002972,,0,61329,389,110,60672,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,tool_calls,tool_calls,2776,898,false,hermes-ppn,Hermes Agent
gen-1788566384-v2doqAqLyLDKrk57Vfhz,2026-09-04 23:59:44.285,0.001892,,,,0,483,408,406,0,google/gemini-3.6-flash-20260721,Google,standard,false,true,,STOP,stop,2966,1326,false,hermes-ppn,Hermes Agent
gen-1788566377-dJYiuxvJLVYzF7vUrFSx,2026-09-04 23:59:37.402,0.001047,,-0.002947,,0,60553,331,60,60160,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,tool_calls,tool_calls,6291,533,false,hermes-ppn,Hermes Agent
gen-1788566374-W4TYPYEbyzLLPw5mG4Nx,2026-09-04 23:59:34.863,0.000888,,,,0,454,146,144,0,google/gemini-3.6-flash-20260721,Google,standard,false,true,,STOP,stop,1634,1279,false,hermes-ppn,Hermes Agent
gen-1788566366-Sj0L9El4Eb18UXmKrVwr,2026-09-04 23:59:26.308,0.001217,,-0.00286,,0,58861,1395,962,58368,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,tool_calls,tool_calls,7798,960,false,hermes-ppn,Hermes Agent
gen-1788566358-TjvWufi7yWX5qBiWS0MN,2026-09-04 23:59:18.917,0.001464,,,,0,3918,567,523,0,openai/gpt-5.6-luna-pro-20260709,Azure,standard,false,true,,completed,stop,5635,5562,false,hermes-ppn,Hermes Agent
gen-1788566349-8eocFBhPwFVUnthNkMec,2026-09-04 23:59:09.462,0.001218,,-0.002772,,0,56861,1636,1117,56576,deepseek/deepseek-v4-flash-20260731,Relace,standard,false,true,,tool_calls,tool_calls,9054,1109,false,hermes-ppn,Hermes Agent
gen-1788566344-5AYifkm4VadgFyQ2JL9O,2026-09-04 23:59:04.407,0.0011,,,,0,4498,167,123,0,openai/gpt-5.6-luna-pro-20260709,Azure,standard,false,true,,completed,stop,3630,2760,false,hermes-ppn,Hermes Agent
